english,singular,plural,article,noun,x,y
Riot,Der Aufruhr,Die Aufruhr,Der,Aufruhr,aufruhr,0
Timing,Das Timing,Die Timingen,Das,Timing,timing,2
Burger,Der Burger,Die Burger,Der,Burger,burger,0
Plus,Das Plus,(usually uncountable),Das,Plus,plus,2
Sparrow,Der Spatz,Die Spatzen,Der,Spatz,spatz,0
Embassy,Die Botschaft,Die Botschaften,Die,Botschaft,botschaft,1
Podium,Das Podium,Die Podien,Das,Podium,podium,2
Accusation,Die Anschuldigung,Die Anschuldigungen,Die,Anschuldigung,anschuldigung,1
Manor,Das Herrenhaus,Die Herrenhäuser,Das,Herrenhaus,herrenhaus,2
Shuffling,Das Mischen,Die Mischungen,Das,Mischen,mischen,2
Dolphin,Der Delphin,Die Delfine,Der,Delphin,delphin,0
Kettle,Der Wasserkocher,Die Wasserkocher,Der,Wasserkocher,wasserkocher,0
Vet,Der Tierarzt,Die Tierärzte,Der,Tierarzt,tierarzt,0
Runway,Die Start- und Landebahn,Die Start- und Landebahnen,Die,Start- und Landebahn,start- und landebahn,1
Poppy,Die Mohnblume,Die Mohnblumen,Die,Mohnblume,mohnblume,1
Lava,Die Lava,(usually uncountable),Die,Lava,lava,1
Inspiration,Die Inspiration,Die Inspirationen,Die,Inspiration,inspiration,1
Bosom,Der Busen,Die Busen,Der,Busen,busen,0
Intruder,Der Eindringling,Die Eindringlinge,Der,Eindringling,eindringling,0
Supermarket,Der Supermarkt,Die Supermärkte,Der,Supermarkt,supermarkt,0
Jealousy,Die Eifersucht,(usually uncountable),Die,Eifersucht,eifersucht,1
Marina,Die Marina,Die Marinas,Die,Marina,marina,1
Procession,Die Prozession,Die Prozessionen,Die,Prozession,prozession,1
Astronaut,Der Astronaut,Die Astronauten,Der,Astronaut,astronaut,0
Sweep,Der Kehren,Die Kehren,Der,Kehren,kehren,0
Recovery,Die Wiederherstellung,Die Wiederherstellungen,Die,Wiederherstellung,wiederherstellung,1
Harness,Das Geschirr,Die Geschirre,Das,Geschirr,geschirr,2
Logo,Das Logo,Die Logos,Das,Logo,logo,2
Litter,Der Wurf,Die Würfe,Der,Wurf,wurf,0
Resentment,Die Groll,(usually uncountable),Die,Groll,groll,1
CoOp,Die Genossenschaft,Die Genossenschaften,Die,Genossenschaft,genossenschaft,1
Drake,Der Erpel,Die Erpel,Der,Erpel,erpel,0
Gypsy,Der Zigeuner,Die Zigeuner,Der,Zigeuner,zigeuner,0
Imitation,Die Nachahmung,Die Nachahmungen,Die,Nachahmung,nachahmung,1
Employer,Der Arbeitgeber,Die Arbeitgeber,Der,Arbeitgeber,arbeitgeber,0
Freshman,Der Student im ersten Jahr,Die Studenten im ersten Jahr,Der,Student im ersten Jahr,student im ersten jahr,0
Phenomenon,Das Phänomen,Die Phänomene,Das,Phänomen,phänomen,2
Flute,Die Flöte,Die Flöten,Die,Flöte,flöte,1
Greek,Der Grieche,Die Griechen,Der,Grieche,grieche,0
Forefinger,Der Zeigefinger,Die Zeigefinger,Der,Zeigefinger,zeigefinger,0
Republic,Die Republik,Die Republiken,Die,Republik,republik,1
Emerald,Der Smaragd,Die Smaragde,Der,Smaragd,smaragd,0
Bathrobe,Der Bademantel,Die Bademäntel,Der,Bademantel,bademantel,0
Testimony,Die Zeugenaussage,Die Zeugenaussagen,Die,Zeugenaussage,zeugenaussage,1
Hinge,Das Scharnier,Die Scharniere,Das,Scharnier,scharnier,2
Bakery,Die Bäckerei,Die Bäckereien,Die,Bäckerei,bäckerei,1
Context,Der Kontext,Die Kontexte,Der,Kontext,kontext,0
Bargain,Das Schnäppchen,Die Schnäppchen,Das,Schnäppchen,schnäppchen,2
Saying,Das Sprichwort,Die Sprichwörter,Das,Sprichwort,sprichwort,2
Foreman,Der Vorarbeiter,Die Vorarbeiter,Der,Vorarbeiter,vorarbeiter,0
Swan,Der Schwan,Die Schwäne,Der,Schwan,schwan,0
Flannel,Das Flanell,Die Flanell,Das,Flanell,flanell,2
Learning,Das Lernen,(usually uncountable),Das,Lernen,lernen,2
Pub,Die Kneipe,Die Kneipen,Die,Kneipe,kneipe,1
Fraction,Der Bruchteil,Die Bruchteile,Der,Bruchteil,bruchteil,0
Trout,Die Forelle,Die Forellen,Die,Forelle,forelle,1
Crust,Die Kruste,Die Krusten,Die,Kruste,kruste,1
Glint,Das Aufblitzen,Die Aufblitzen,Das,Aufblitzen,aufblitzen,2
Medal,Die Medaille,Die Medaillen,Die,Medaille,medaille,1
Perception,Die Wahrnehmung,Die Wahrnehmungen,Die,Wahrnehmung,wahrnehmung,1
Welcome,Die Begrüßung,Die Begrüßungen,Die,Begrüßung,begrüßung,1
Dictionary,Das Wörterbuch,Die Wörterbücher,Das,Wörterbuch,wörterbuch,2
Metaphor,Die Metapher,Die Metaphern,Die,Metapher,metapher,1
Poverty,Die Armut,(usually uncountable),Die,Armut,armut,1
